Step,Temperature_RAW,Strain1_RAW,Strain2_RAW
0,251,65535,65535
1,255,65535,65535
2,255,65535,65535
3,255,65535,65535
4,255,65535,65535
5,255,65535,65535
6,255,65535,65535
7,255,65535,65535
8,255,65535,65535
9,255,65535,65535
10,255,65535,65535
11,255,65535,65535
12,255,65535,65535
13,255,65535,65535
14,255,65535,65535
15,255,65535,65535
16,255,65535,65535
17,255,65535,65535
18,255,65535,65535
19,255,65535,65535
20,255,65535,65535
21,255,65535,65535
22,255,65535,65535
23,255,65535,65535
24,255,65535,65535
25,254,65535,65535
26,255,65535,65535
27,255,65535,65535
28,255,65535,65535
29,255,65535,65535
30,255,65535,65535
31,255,65535,65535
32,255,65535,65535
33,255,65535,65535
34,255,65535,65535
35,255,65535,65535
36,255,65535,65535
37,255,65535,65535
38,255,65535,65535
39,255,65535,65535
40,255,65535,65535
41,254,65535,65535
42,255,65535,65535
43,255,65535,65535
44,255,65535,65535
45,254,65535,65535
46,255,65535,65535
47,255,65535,65535
48,255,65535,65535
49,255,65535,65535
50,255,65535,65535
51,255,65535,65535
52,255,65535,65535
53,255,65535,65535
54,255,65535,65535
55,255,65535,65535
56,255,65535,65535
57,255,65535,65535
58,255,65535,65535
59,255,65535,65535
60,255,65535,65535
61,255,65535,65535
62,255,65535,65535
63,255,65535,65535
64,255,65535,65535
65,255,65535,65535
66,255,65535,65535
67,255,65535,65535
68,255,65535,65535
69,254,65535,65535
70,254,65535,65535
71,255,65535,65535
72,255,65535,65535
73,255,65535,65535
74,255,65535,65535
75,255,65535,65535
76,255,65535,65535
77,255,65535,65535
78,255,65535,65535
79,255,65535,65535
80,255,65535,65535
81,255,65535,65535
82,255,65535,65535
83,255,65535,65535
84,255,65535,65535
85,255,65535,65535
86,255,65535,65535
87,255,65535,65535
88,255,65535,65535
89,254,65535,65535
90,255,65535,65535
91,255,65535,65535
92,255,65535,65535
93,255,65535,65535
94,255,65535,65535
95,255,65535,65535
96,255,65535,65535
97,255,65535,65535
98,255,65535,65535
99,255,65535,65535
100,255,65535,65535
101,255,65535,65535
102,255,65535,65535
103,255,65535,65535
104,255,65535,65535
105,255,65535,65535
106,254,65535,65535
107,255,65535,65535
108,255,65535,65535
109,255,65535,65535
110,255,65535,65535
111,255,65535,65535
112,255,65535,65535
113,254,65535,65535
114,255,65535,65535
115,255,65535,65535
116,255,65535,65535
117,255,65535,65535
118,255,65535,65535
119,255,65535,65535
120,255,65535,65535
121,255,65535,65535
122,255,65535,65535
123,255,65535,65535
124,255,65535,65535
125,255,65535,65535
126,255,65535,65535
127,254,65535,65535
128,255,65535,65535
129,255,65535,65535
130,255,65535,65535
131,255,65535,65535
132,255,65535,65535
133,255,65535,65535
134,255,65535,65535
135,255,65535,65535
136,255,65535,65535
137,255,65535,65535
138,255,65535,65535
139,255,65535,65535
140,255,65535,65535
141,255,65535,65535
142,255,65535,65535
143,255,65535,65535
144,255,65535,65535
145,255,65535,65535
146,255,65535,65535
147,255,65535,65535
148,255,65535,65535
149,255,65535,65535
150,255,65535,65535
151,255,65535,65535
152,255,65535,65535
153,255,65535,65535
154,255,65535,65535
155,255,65535,65535
156,255,65535,65535
157,255,65535,65535
158,255,65535,65535
159,255,65535,65535
160,255,65535,65535
161,255,65535,65535
162,255,65535,65535
163,255,65535,65535
164,255,65535,65535
165,255,65535,65535
166,255,65535,65535
167,255,65535,65535
168,255,65535,65535
169,254,65535,65535
170,255,65535,65535
171,254,65535,65535
172,255,65535,65535
173,255,65535,65535
174,255,65535,65535
175,255,65535,65535
176,255,65535,65535
177,255,65535,65535
178,255,65535,65535
179,255,65535,65535
180,255,65535,65535
181,255,65535,65535
182,255,65535,65535
183,255,65535,65535
184,255,65535,65535
185,255,65535,65535
186,255,65535,65535
187,255,65535,65535
188,255,65535,65535
189,255,65535,65535
190,255,65535,65535
191,255,65535,65535
192,255,65535,65535
193,255,65535,65535
194,255,65535,65535
195,255,65535,65535
196,255,65535,65535
197,255,65535,65535
198,255,65535,65535
199,255,65535,65535
200,255,65535,65535
201,254,65535,65535
202,255,65535,65535
203,255,65535,65535
204,255,65535,65535
205,255,65535,65535
206,255,65535,65535
207,255,65535,65535
208,255,65535,65535
209,255,65535,65535
210,255,65535,65535
211,255,65535,65535
212,255,65535,65535
213,255,65535,65535
214,255,65535,65535
215,255,65535,65535
216,255,65535,65535
217,255,65535,65535
218,255,65535,65535
219,255,65535,65535
220,254,65535,65535
221,255,65535,65535
222,255,65535,65535
223,255,65535,65535
224,255,65535,65535
225,255,65535,65535
226,255,65535,65535
227,255,65535,65535
228,255,65535,65535
229,255,65535,65535
230,255,65535,65535
231,255,65535,65535
232,255,65535,65535
233,255,65535,65535
234,255,65535,65535
235,255,65535,65535
236,255,65535,65535
237,255,65535,65535
238,255,65535,65535
239,255,65535,65535
240,255,65535,65535
241,255,65535,65535
242,255,65535,65535
243,255,65535,65535
244,255,65535,65535
245,255,65535,65535
246,255,65535,65535
247,255,65535,65535
248,255,65535,65535
249,255,65535,65535
250,255,65535,65535
251,255,65535,65535
252,255,65535,65535
253,255,65535,65535
254,255,65535,65535
255,255,65535,65535
256,255,65535,65535
257,255,65535,65535
258,255,65535,65535
259,255,65535,65535
260,255,65535,65535
261,255,65535,65535
262,255,65535,65535
263,255,65535,65535
264,255,65535,65535
265,255,65535,65535
266,254,65535,65535
267,255,65535,65535
268,255,65535,65535
269,255,65535,65535
270,255,65535,65535
271,254,65535,65535
272,255,65535,65535
273,255,65535,65535
274,255,65535,65535
275,255,65535,65535
276,255,65535,65535
277,255,65535,65535
278,255,65535,65535
279,255,65535,65535
280,255,65535,65535
281,255,65535,65535
282,255,65535,65535
283,255,65535,65535
284,255,65535,65535
285,255,65535,65535
286,255,65535,65535
287,255,65535,65535
288,255,65535,65535
289,255,65535,65535
290,255,65535,65535
291,255,65535,65535
292,255,65535,65535
293,255,65535,65535
294,254,65535,65535
295,255,65535,65535
296,255,65535,65535
297,255,65535,65535
298,255,65535,65535
299,255,65535,65535
300,255,65535,65535
301,255,65535,65535
302,255,65535,65535
303,255,65535,65535
304,255,65535,65535
305,255,65535,65535
306,255,65535,65535
307,255,65535,65535
308,255,65535,65535
309,255,65535,65535
310,255,65535,65535
311,255,65535,65535
312,255,65535,65535
313,255,65535,65535
314,255,65535,65535
315,255,65535,65535
316,255,65535,65535
317,255,65535,65535
318,254,65535,65535
